"default","Subject","VOC",
0,1,158
0,1,172
0,1,169
0,1,162
0,1,155
0,2,176
0,2,189
0,2,191
0,2,187
0,2,181
0,3,182
0,3,184
0,3,184
0,3,182
0,3,179
0,4,78
0,4,98
0,4,117
0,4,128
0,4,126
0,5,217
0,5,223
0,5,228
0,5,232
0,5,221
0,6,165
0,6,176
0,6,181
0,6,178
0,6,173
0,7,207
0,7,212
0,7,212
0,7,209
0,7,204
0,8,229
0,8,235
0,8,236
0,8,234
0,8,230
0,9,82
0,9,95
0,9,91
0,9,88
0,9,84
0,10,250
0,10,254
0,10,249
0,10,236
0,10,227
0,11,162
0,11,167
0,11,169
0,11,167
0,11,164
0,12,149
0,12,155
0,12,158
0,12,151
0,12,144
0,13,169
0,13,175
0,13,180
0,13,171
0,13,163
